NAME_1,NAME_2,Latitude,Longitude,ADM2_FR,ADM2_PCODE,1985_pop
Antananarivo,Analamanga,-18.421,47.422,Analamanga,MDG0101,1290967.576
Antananarivo,Bongolava,-18.587,46.148,Bongolava,MDG0102,153515.839
Antananarivo,Itasy,-19.054,46.892,Itasy,MDG0103,449837.491
Antananarivo,Vakinankaratra,-19.729,46.836,Vakinankaratra,MDG0104,1177353.475
Antsiranana,Diana,-13.343,48.925,Diana,MDG0201,232035.853
Antsiranana,Sava,-14.312,49.825,Sava,MDG0202,507223.971
Fianarantsoa,Amoron'i mania,-20.494,46.689,Amoron'i mania,MDG0301,632245.921
Fianarantsoa,Atsimo-Atsinana,-23.295,47.249,Atsimo-Atsinana,MDG0302,246742.859
Fianarantsoa,Haute matsiatra,-21.443,46.599,Haute matsiatra,MDG0303,913730.170
Fianarantsoa,Ihorombe,-22.519,46.146,Ihorombe,MDG0304,62078.210
Fianarantsoa,Vatovavy Fitovinany,-21.349,47.864,Vatovavy Fitovi,MDG0305,578992.737
Mahajanga,Betsiboka,-17.226,46.997,Betsiboka,MDG0401,136273.010
Mahajanga,Boeny,-16.271,46.218,Boeny,MDG0402,254845.988
Mahajanga,Melaky,-17.714,44.808,Melaky,MDG0403,54073.978
Mahajanga,Sofia,-15.343,48.293,Sofia,MDG0404,488576.116
Toamasina,Alaotra-Mangoro,-17.924,48.321,Alaotra-Mangoro,MDG0501,591357.849
Toamasina,Analanjirofo,-16.387,49.361,Analanjirofo,MDG0502,544514.308
Toamasina,Atsinanana,-19.100,48.687,Atsinanana,MDG0503,751097.174
Toliary,Androy,-24.822,45.439,Androy,MDG0601,173984.361
Toliary,Anosy,-23.987,46.257,Anosy,MDG0602,328293.452
Toliary,Atsimo-Andrefana,-23.056,44.431,Atsimo-Andrefan,MDG0603,580461.533
Toliary,Menabe,-20.231,44.895,Menabe,MDG0604,147034.208
