region,layer,harvest_month,Ky,n_years,drought_prevalence,p_DD,p_ND,pi_D,drought_spei_mean,drought_spei_std,normal_spei_mean,normal_spei_std,n_drought_obs,n_normal_obs
Alaotra-Mangoro,cassava,7,1.2,38,0.2105,0.0,0.2759,0.2162,-1.193,0.5091,0.2677,0.6105,8,30
Amoron'i mania,cassava,7,1.2,38,0.3684,0.3571,0.3913,0.3784,-1.0331,0.3444,0.4439,0.4956,14,24
Analamanga,cassava,7,1.2,38,0.2895,0.2727,0.3077,0.2973,-1.1386,0.4191,0.3596,0.6466,11,27
Analanjirofo,cassava,7,1.2,38,0.2895,0.2727,0.3077,0.2973,-0.9268,0.3979,0.3759,0.4914,11,27
Androy,cassava,7,1.2,38,0.3421,0.0769,0.5,0.3514,-1.056,0.4155,0.4382,0.4651,13,25
Anosy,cassava,7,1.2,38,0.2368,0.1111,0.2857,0.2432,-1.2116,0.3653,0.2667,0.4992,9,29
Atsimo-Andrefana,cassava,7,1.2,38,0.2368,0.125,0.2759,0.2397,-1.139,0.5403,0.2339,0.51,9,29
Atsimo-Atsinana,cassava,7,1.2,38,0.3158,0.3333,0.32,0.3243,-1.0728,0.333,0.4368,0.5586,12,26
Atsinanana,cassava,7,1.2,38,0.2368,0.0,0.3214,0.2432,-0.9297,0.4392,0.2539,0.5464,9,29
Betsiboka,cassava,7,1.2,38,0.3158,0.2727,0.3462,0.3225,-1.0402,0.4277,0.381,0.651,12,26
Boeny,cassava,7,1.2,38,0.3158,0.3333,0.32,0.3243,-1.0376,0.3483,0.3736,0.5908,12,26
Bongolava,cassava,7,1.2,38,0.3421,0.3077,0.375,0.3514,-1.0979,0.2923,0.4697,0.6146,13,25
Diana,cassava,7,1.2,38,0.3158,0.4167,0.28,0.3243,-0.9877,0.3597,0.4683,0.6123,12,26
Haute matsiatra,cassava,7,1.2,38,0.3421,0.3077,0.375,0.3514,-1.0323,0.4548,0.3765,0.5137,13,25
Ihorombe,cassava,7,1.2,38,0.2368,0.3333,0.2143,0.2432,-1.2215,0.4334,0.2439,0.5282,9,29
Itasy,cassava,7,1.2,38,0.2368,0.2222,0.25,0.2432,-1.3411,0.3197,0.3112,0.6335,9,29
Melaky,cassava,7,1.2,38,0.3421,0.3077,0.375,0.3514,-0.9614,0.4591,0.4142,0.659,13,25
Menabe,cassava,7,1.2,38,0.3421,0.3077,0.375,0.3514,-0.9949,0.4451,0.422,0.6129,13,25
Sava,cassava,7,1.2,38,0.2632,0.3,0.2593,0.2703,-1.0239,0.4334,0.3655,0.6371,10,28
Sofia,cassava,7,1.2,38,0.2368,0.3333,0.2143,0.2432,-1.1002,0.2563,0.3469,0.6283,9,29
Vakinankaratra,cassava,7,1.2,38,0.3158,0.25,0.36,0.3243,-1.0981,0.3217,0.3741,0.5462,12,26
Vatovavy Fitovinany,cassava,7,1.2,38,0.3421,0.2308,0.4167,0.3514,-0.991,0.2852,0.405,0.5091,13,25
Alaotra-Mangoro,maize,2,1.2,38,0.3421,0.0769,0.5,0.3514,-1.0578,0.4471,0.4644,0.5725,13,25
Amoron'i mania,maize,2,1.2,38,0.3421,0.3333,0.36,0.3506,-0.9521,0.5167,0.3938,0.5923,13,25
Analamanga,maize,2,1.2,38,0.3158,0.0833,0.44,0.3243,-1.087,0.5147,0.3808,0.5911,12,26
Analanjirofo,maize,2,1.2,38,0.2895,0.1818,0.3462,0.2973,-0.9878,0.3968,0.4034,0.611,11,27
Androy,maize,2,1.2,38,0.3421,0.4167,0.28,0.3243,-1.0258,0.344,0.5536,0.6381,13,25
Anosy,maize,2,1.2,38,0.3684,0.3846,0.3333,0.3514,-1.019,0.2919,0.6098,0.5868,14,24
Atsimo-Andrefana,maize,2,1.2,38,0.3158,0.3636,0.3077,0.3259,-1.0385,0.3617,0.5071,0.6171,12,26
Atsimo-Atsinana,maize,2,1.2,38,0.2632,0.4,0.2222,0.2703,-1.1876,0.2935,0.404,0.6586,10,28
Atsinanana,maize,2,1.2,38,0.3158,0.1667,0.4,0.3243,-0.9928,0.3809,0.4006,0.5638,12,26
Betsiboka,maize,2,1.2,38,0.3158,0.1818,0.3846,0.3198,-1.0677,0.5268,0.3812,0.5211,12,26
Boeny,maize,2,1.2,38,0.3158,0.3636,0.3077,0.3259,-1.0372,0.4563,0.3709,0.5187,12,26
Bongolava,maize,2,1.2,38,0.2632,0.1111,0.3214,0.2656,-1.1203,0.5479,0.2978,0.6525,10,28
Diana,maize,2,1.2,38,0.3421,0.4167,0.32,0.3542,-0.9278,0.3555,0.4501,0.5719,13,25
Haute matsiatra,maize,2,1.2,38,0.3158,0.4545,0.2692,0.3305,-1.1011,0.3727,0.4339,0.615,12,26
Ihorombe,maize,2,1.2,38,0.3158,0.4545,0.2692,0.3305,-1.1256,0.2744,0.5114,0.5998,12,26
Itasy,maize,2,1.2,38,0.3684,0.1429,0.5217,0.3784,-0.9506,0.5709,0.4251,0.6187,14,24
Melaky,maize,2,1.2,38,0.2895,0.5,0.2222,0.3077,-1.0373,0.4106,0.3455,0.6124,11,27
Menabe,maize,2,1.2,38,0.3158,0.4545,0.2692,0.3305,-1.0375,0.3899,0.4282,0.5757,12,26
Sava,maize,2,1.2,38,0.2895,0.4,0.2593,0.3017,-1.0304,0.3301,0.3697,0.6223,11,27
Sofia,maize,2,1.2,38,0.2632,0.3,0.2593,0.2703,-1.0758,0.4493,0.3628,0.5857,10,28
Vakinankaratra,maize,2,1.2,38,0.2895,0.4,0.2593,0.3017,-1.0269,0.5851,0.3045,0.6185,11,27
Vatovavy Fitovinany,maize,2,1.2,38,0.2895,0.2727,0.3077,0.2973,-1.0887,0.4841,0.3465,0.5888,11,27
Alaotra-Mangoro,rice_north,4,1.1,38,0.3421,0.0769,0.5,0.3514,-1.0051,0.4211,0.4338,0.5679,13,25
Amoron'i mania,rice_north,4,1.1,38,0.3421,0.4167,0.32,0.3542,-0.9048,0.4445,0.3762,0.5555,13,25
Analamanga,rice_north,4,1.1,38,0.2632,0.1,0.3333,0.2703,-1.1885,0.4373,0.3072,0.594,10,28
Analanjirofo,rice_north,4,1.1,38,0.2368,0.3333,0.2143,0.2432,-1.0097,0.398,0.291,0.5949,9,29
Androy,rice_north,4,1.1,38,0.2895,0.3,0.2963,0.2974,-1.0723,0.3634,0.4492,0.6543,11,27
Anosy,rice_north,4,1.1,38,0.2895,0.3,0.2963,0.2974,-1.12,0.2989,0.4476,0.5837,11,27
Atsimo-Andrefana,rice_north,4,1.1,38,0.2895,0.3,0.2963,0.2974,-1.0391,0.4104,0.4343,0.5904,11,27
Atsimo-Atsinana,rice_north,4,1.1,38,0.2632,0.3,0.2593,0.2703,-1.1849,0.3513,0.3954,0.5826,10,28
Atsinanana,rice_north,4,1.1,38,0.2632,0.2,0.2963,0.2703,-0.9993,0.3492,0.3043,0.5618,10,28
Betsiboka,rice_north,4,1.1,38,0.2895,0.2,0.3333,0.2941,-1.0936,0.494,0.3431,0.5315,11,27
Boeny,rice_north,4,1.1,38,0.3421,0.3333,0.36,0.3506,-0.9694,0.3927,0.4018,0.5046,13,25
Bongolava,rice_north,4,1.1,38,0.2895,0.2727,0.3077,0.2973,-1.0783,0.4473,0.3236,0.5621,11,27
Diana,rice_north,4,1.1,38,0.3158,0.5,0.24,0.3243,-0.9527,0.3876,0.4513,0.5655,12,26
Haute matsiatra,rice_north,4,1.1,38,0.3421,0.4167,0.32,0.3542,-1.0559,0.3417,0.4637,0.4841,13,25
Ihorombe,rice_north,4,1.1,38,0.3158,0.4545,0.2692,0.3305,-1.1056,0.2796,0.4763,0.5118,12,26
Itasy,rice_north,4,1.1,38,0.3421,0.0769,0.5,0.3514,-1.0038,0.4171,0.399,0.5783,13,25
Melaky,rice_north,4,1.1,38,0.2895,0.4,0.2593,0.3017,-0.9722,0.2922,0.3106,0.6393,11,27
Menabe,rice_north,4,1.1,38,0.3158,0.4545,0.2692,0.3305,-0.9891,0.3155,0.3969,0.5459,12,26
Sava,rice_north,4,1.1,38,0.3421,0.3846,0.3333,0.3514,-0.8926,0.3581,0.4333,0.6353,13,25
Sofia,rice_north,4,1.1,38,0.2368,0.4444,0.1786,0.2432,-1.0938,0.5176,0.3394,0.5394,9,29
Vakinankaratra,rice_north,4,1.1,38,0.2895,0.0909,0.3846,0.2973,-0.9339,0.5404,0.2761,0.5843,11,27
Vatovavy Fitovinany,rice_north,4,1.1,38,0.3158,0.4167,0.28,0.3243,-1.0073,0.4252,0.3849,0.526,12,26
Alaotra-Mangoro,rice_south,6,1.1,38,0.2105,0.125,0.2414,0.2162,-1.2222,0.4329,0.3103,0.5959,8,30
Amoron'i mania,rice_south,6,1.1,38,0.3158,0.4167,0.28,0.3243,-0.9867,0.3832,0.3595,0.6073,12,26
Analamanga,rice_south,6,1.1,38,0.2632,0.1,0.3333,0.2703,-1.1257,0.428,0.3513,0.5998,10,28
Analanjirofo,rice_south,6,1.1,38,0.2368,0.4444,0.1786,0.2432,-0.9623,0.4388,0.3281,0.5548,9,29
Androy,rice_south,6,1.1,38,0.3421,0.1538,0.4583,0.3514,-0.9977,0.3638,0.5072,0.6066,13,25
Anosy,rice_south,6,1.1,38,0.3158,0.1667,0.4,0.3243,-1.0212,0.351,0.4403,0.557,12,26
Atsimo-Andrefana,rice_south,6,1.1,38,0.3158,0.0909,0.4231,0.3176,-1.0471,0.3495,0.4615,0.4976,12,26
Atsimo-Atsinana,rice_south,6,1.1,38,0.2632,0.3,0.2593,0.2703,-1.0985,0.3383,0.3947,0.6092,10,28
Atsinanana,rice_south,6,1.1,38,0.2895,0.3636,0.2692,0.2973,-0.8925,0.4273,0.3419,0.5478,11,27
Betsiboka,rice_south,6,1.1,38,0.2105,0.25,0.2069,0.2162,-1.1845,0.4354,0.2906,0.6279,8,30
Boeny,rice_south,6,1.1,38,0.2895,0.2727,0.3077,0.2973,-1.0405,0.337,0.4022,0.5768,11,27
Bongolava,rice_south,6,1.1,38,0.3158,0.1667,0.4,0.3243,-1.1145,0.2183,0.4428,0.5097,12,26
Diana,rice_south,6,1.1,38,0.2368,0.5556,0.1429,0.2432,-1.0372,0.3813,0.3958,0.6283,9,29
Haute matsiatra,rice_south,6,1.1,38,0.2895,0.3636,0.2692,0.2973,-1.0816,0.3273,0.3493,0.5995,11,27
Ihorombe,rice_south,6,1.1,38,0.3158,0.25,0.36,0.3243,-0.9947,0.3562,0.4082,0.5793,12,26
Itasy,rice_south,6,1.1,38,0.3158,0.1667,0.4,0.3243,-1.1489,0.2279,0.4459,0.5351,12,26
Melaky,rice_south,6,1.1,38,0.3158,0.25,0.36,0.3243,-0.9816,0.3513,0.3945,0.6421,12,26
Menabe,rice_south,6,1.1,38,0.3421,0.1667,0.44,0.3455,-0.9499,0.2766,0.4461,0.5424,13,25
Sava,rice_south,6,1.1,38,0.2632,0.4,0.2222,0.2703,-1.0208,0.384,0.3944,0.6147,10,28
Sofia,rice_south,6,1.1,38,0.3158,0.4167,0.28,0.3243,-0.8794,0.3991,0.4802,0.5229,12,26
Vakinankaratra,rice_south,6,1.1,38,0.3158,0.25,0.36,0.3243,-1.0276,0.3137,0.3829,0.5685,12,26
Vatovavy Fitovinany,rice_south,6,1.1,38,0.2632,0.4,0.2222,0.2703,-1.0167,0.3923,0.3135,0.6375,10,28
