NAME_2,rice_north_y1985,rice_north_y1986,rice_north_y1987,rice_north_y1988,rice_north_y1989,rice_north_y1990,rice_north_y1991,rice_north_y1992,rice_north_y1993,rice_north_y1994,rice_north_y1995,rice_north_y1996,rice_north_y1997,rice_north_y1998,rice_north_y1999,rice_north_y2000,rice_north_y2001,rice_north_y2002,rice_north_y2003,rice_north_y2004,rice_north_y2005,rice_north_y2006,rice_north_y2007,rice_north_y2008,rice_north_y2009,rice_north_y2010,rice_north_y2011,rice_north_y2012,rice_north_y2013,rice_north_y2014,rice_north_y2015,rice_north_y2016,rice_north_y2017,rice_north_y2018,rice_north_y2019,rice_north_y2020,rice_north_y2021,rice_north_y2022,rice_south_y1985,rice_south_y1986,rice_south_y1987,rice_south_y1988,rice_south_y1989,rice_south_y1990,rice_south_y1991,rice_south_y1992,rice_south_y1993,rice_south_y1994,rice_south_y1995,rice_south_y1996,rice_south_y1997,rice_south_y1998,rice_south_y1999,rice_south_y2000,rice_south_y2001,rice_south_y2002,rice_south_y2003,rice_south_y2004,rice_south_y2005,rice_south_y2006,rice_south_y2007,rice_south_y2008,rice_south_y2009,rice_south_y2010,rice_south_y2011,rice_south_y2012,rice_south_y2013,rice_south_y2014,rice_south_y2015,rice_south_y2016,rice_south_y2017,rice_south_y2018,rice_south_y2019,rice_south_y2020,rice_south_y2021,rice_south_y2022,maize_y1985,maize_y1986,maize_y1987,maize_y1988,maize_y1989,maize_y1990,maize_y1991,maize_y1992,maize_y1993,maize_y1994,maize_y1995,maize_y1996,maize_y1997,maize_y1998,maize_y1999,maize_y2000,maize_y2001,maize_y2002,maize_y2003,maize_y2004,maize_y2005,maize_y2006,maize_y2007,maize_y2008,maize_y2009,maize_y2010,maize_y2011,maize_y2012,maize_y2013,maize_y2014,maize_y2015,maize_y2016,maize_y2017,maize_y2018,maize_y2019,maize_y2020,maize_y2021,maize_y2022,cassava_y1985,cassava_y1986,cassava_y1987,cassava_y1988,cassava_y1989,cassava_y1990,cassava_y1991,cassava_y1992,cassava_y1993,cassava_y1994,cassava_y1995,cassava_y1996,cassava_y1997,cassava_y1998,cassava_y1999,cassava_y2000,cassava_y2001,cassava_y2002,cassava_y2003,cassava_y2004,cassava_y2005,cassava_y2006,cassava_y2007,cassava_y2008,cassava_y2009,cassava_y2010,cassava_y2011,cassava_y2012,cassava_y2013,cassava_y2014,cassava_y2015,cassava_y2016,cassava_y2017,cassava_y2018,cassava_y2019,cassava_y2020,cassava_y2021,cassava_y2022
Analamanga,1.096983,-0.125787,0.163545,-1.455679,-0.247530,-0.339923,-1.005967,1.121801,-1.039290,0.966220,-0.377405,-0.019324,0.318382,0.970164,-1.096074,-1.427154,0.456466,-0.579545,0.781971,-0.651387,0.585607,-0.345188,1.680228,-1.163054,0.035614,-0.051951,-0.373943,-0.036237,-0.498140,-0.207394,1.161893,-0.364559,-2.210190,1.089941,0.585725,0.352613,-1.265496,0.233593,0.822059,-0.621138,-0.165968,-0.703575,-0.184312,-1.144482,-0.478098,1.531635,-0.363011,1.221607,0.517913,-0.260650,0.659729,0.749128,-1.976410,-1.213144,-0.104303,-0.331868,0.577972,-0.167003,-0.138465,-1.449908,1.764901,-0.813199,0.078903,0.194830,0.518039,0.651509,-0.327287,-0.951848,0.927133,-0.239461,-1.657672,0.518834,1.081876,0.131970,-0.725253,0.661406,0.525233,0.008240,0.734943,-1.132795,-0.154935,-0.038699,-1.626491,1.255401,-1.332881,0.456669,-0.129405,0.231216,0.373487,1.227547,-0.844691,-1.129473,0.891796,-0.569083,0.651036,-0.671202,0.432195,-0.333352,1.859875,-0.572735,-0.355020,-0.075669,-0.935184,-0.140156,-0.671632,0.276218,1.138118,-0.431809,-2.449114,1.220467,-0.150946,0.553246,-1.120613,-0.107025,1.871474,-0.079420,-0.301471,-0.824029,-0.119466,-1.395622,1.336598,0.385579,0.737671,0.996864,0.354451,-0.837712,0.236192,1.068233,-1.790669,-0.846514,-1.941875,0.817370,-1.064227,-0.633744,0.692606,-1.176535,0.741506,-0.666571,0.003933,-0.433520,0.660662,1.408512,-0.188079,-1.349126,0.685033,-0.266134,-0.323798,-0.059266,0.874614,-0.486379,-0.428898,-0.465640
Bongolava,0.957915,-0.717422,0.270666,-1.752835,-0.433908,-0.722158,-0.190157,0.961263,-0.264252,1.327884,-0.029869,-0.924489,0.714364,0.978051,-0.661692,-0.946713,0.869983,0.126564,0.460510,-0.251516,-0.350089,-0.327627,1.481688,-0.982278,-0.630934,-1.035053,0.728005,-0.029803,-1.432260,0.178939,1.049790,0.221218,-2.047539,0.501750,-0.305766,0.521774,-0.296493,-0.142008,0.600285,-1.026000,-0.001222,-1.222050,0.047471,-1.295125,0.579237,1.043342,0.160093,1.141795,0.459905,-1.120790,0.875807,1.024892,-0.834802,-1.033566,-0.339326,-0.268926,0.508750,0.123026,-1.390719,-1.270890,1.203699,-0.971503,-0.494506,-0.628111,1.303766,0.544821,-1.198991,0.066802,1.364051,0.652892,-1.379831,0.139970,0.345424,0.124415,-0.012098,0.315615,0.196038,-0.329431,0.750619,-0.867658,-0.257757,-0.447215,-1.787035,1.391253,-0.478435,1.117922,0.622290,-0.586198,0.757633,1.222291,-0.186362,-0.363708,1.053090,0.104674,0.400121,-0.928053,-0.078741,-0.419139,1.790908,-0.190934,-0.689843,-0.626729,-0.318102,-0.054536,-1.127199,0.779057,0.556840,-0.468157,-2.410389,0.593717,-0.885833,0.968462,-0.385786,-1.284527,1.407332,-0.193206,0.165903,-1.312585,0.208650,-1.488333,1.937689,-0.020855,0.840051,1.211248,0.499740,-1.451006,0.138480,0.838055,-1.400538,-1.288374,-1.122733,0.242722,-0.370763,0.451787,-1.045104,-0.674733,-0.227311,-0.965487,-0.412515,-0.666373,1.320955,0.783449,-0.929898,-1.286796,1.323675,0.883313,-0.193380,0.206720,0.091233,-0.633621,0.590390,0.010377
Itasy,1.429785,-0.659686,0.549728,-1.560616,-0.480844,-0.959708,-0.282039,0.723711,-1.066848,1.085020,-0.420312,-1.162669,0.059320,0.969481,-0.833590,-1.216941,0.812173,0.267341,1.040684,-0.718315,0.053005,-0.152733,1.572015,-1.137941,-0.138939,-0.548121,0.243580,0.388583,-0.384142,-0.638006,1.040034,-0.058967,-2.046790,0.552199,-0.042375,0.340219,-0.524188,0.818401,1.099955,-1.085090,0.310836,-0.979962,-0.239739,-1.463364,0.497955,0.951823,-0.712636,1.060367,0.546781,-1.231465,0.566854,0.892806,-1.461719,-1.126555,-0.090635,-0.272232,0.909514,-0.311472,-0.993822,-1.351035,1.438130,-1.037055,-0.103618,-0.099758,0.946210,0.782084,-0.273277,-0.940700,1.194017,0.200716,-1.425642,0.080210,0.529824,0.023944,-0.101404,1.062930,0.791002,-0.254025,1.142355,-0.872919,-0.362955,-0.568162,-1.823247,0.934646,-0.832851,0.689592,0.201054,-0.672591,0.312909,1.128792,-0.238214,-0.905349,1.309165,0.156168,0.578433,-1.140676,0.166661,-0.296402,1.939070,-0.452439,-0.528956,-0.365518,-1.030721,0.227824,-0.503712,0.302947,0.853104,-0.655901,-2.624695,0.880447,-0.634064,0.760769,-0.533912,-0.200920,1.815105,-0.210305,0.047045,-1.112893,0.007051,-1.641682,1.848085,-0.377028,-0.022590,0.812203,0.681885,-1.610991,0.107491,0.972825,-1.840635,-1.025169,-1.373507,0.453583,-0.268334,-0.266495,-0.424184,-0.950754,-0.053307,-0.955844,-0.326361,-0.196030,1.217978,1.271794,-0.184494,-1.579178,0.939211,0.399331,-0.106985,-0.034247,0.473814,-0.304718,0.370244,0.384654
Vakinankaratra,1.393582,-0.539118,0.188760,-1.225929,-0.113819,-0.264534,-0.830388,-0.038798,-0.265988,0.713479,-0.126322,-0.589687,-0.066941,0.580262,-0.271037,-1.127745,1.215719,0.293896,1.184965,-0.338552,-0.220896,-0.152806,1.699449,-0.779409,-0.171548,-0.594329,0.713070,0.272639,-0.728064,-0.728577,1.041170,-0.351891,-2.510998,0.304163,-0.057280,-0.161210,-0.625299,0.466856,1.010597,-1.032442,-0.445997,-0.823563,0.215841,-0.955155,0.103991,0.425976,-0.201718,0.860586,0.709538,-0.733594,0.300249,0.688557,-1.181017,-1.073791,0.224856,-0.389517,1.107967,-0.120412,-1.583902,-1.312926,1.622697,-0.703723,-0.063850,-0.173696,1.192517,0.879366,-0.609141,-0.762275,1.159088,-0.008730,-1.557291,-0.292325,0.527780,-0.296513,0.022226,0.897262,1.061723,-0.178974,1.071174,-0.534093,-0.073844,0.037649,-1.965703,0.244281,-0.297852,0.418476,0.308420,-0.412392,0.096152,1.014349,0.401495,-0.864037,1.557788,0.027050,0.525718,-1.045034,0.459626,-0.500954,1.924754,-0.258924,-0.669646,-0.600038,-0.943760,-0.290188,-0.448324,0.390301,0.970773,-0.880005,-2.435560,0.321186,-0.463854,0.324217,-0.838346,-0.524924,1.535859,0.122632,-0.908349,-0.920098,0.152445,-1.263523,1.345807,-0.931665,0.286511,0.799287,0.731110,-1.031463,-0.080238,0.913963,-1.811505,-1.049842,-1.024030,0.417472,0.316673,0.129346,-1.191282,-0.491850,0.019841,-0.832046,-0.205286,-0.038163,1.487493,0.827133,-0.378376,-1.614823,0.631348,0.257927,-0.298180,-0.247680,0.289831,-0.595749,0.747063,0.451679
Diana,0.406204,-0.503624,1.087168,-1.014227,0.530942,0.051362,0.891361,0.498450,-0.566200,-0.188383,0.421183,-0.637112,0.454061,0.102120,-1.147604,-1.931151,-1.308815,-0.901778,1.189771,0.523408,-0.277673,-0.019475,0.061774,-1.198756,-0.666114,-0.775774,-0.729398,0.061235,-0.047471,0.340643,-0.481293,0.611212,0.326311,1.941469,1.711896,0.672007,0.808215,0.059117,0.674983,-0.442567,0.959958,-0.412576,0.788356,0.012368,1.375903,0.018638,-0.280901,0.289561,0.805041,-0.725557,0.134564,0.074684,-1.263770,-1.813628,-1.346741,0.163923,1.021876,0.438227,-0.373101,-0.087974,-0.770313,-1.257525,-0.798371,-0.706589,-0.291831,0.329447,0.050841,-0.621754,-0.206960,0.241966,1.089116,1.872662,1.714245,-0.114727,1.093118,0.534116,0.790417,0.263945,0.978220,-0.898660,0.762608,-0.116595,-0.348533,0.650606,-0.503426,-0.499585,0.539071,-0.532671,1.252214,-0.312692,-0.887589,-1.837754,-0.934159,-1.247106,0.897453,0.628833,-0.201716,0.092114,0.515623,-0.912874,-0.915165,-0.495955,-0.852600,-0.577932,0.315557,0.891468,-0.096011,1.128251,-1.305778,1.128488,1.525545,0.750825,0.185524,-0.544237,0.562000,-1.626100,1.007830,-0.423697,-0.094913,0.113628,1.698221,0.354458,0.206129,0.382207,0.366572,-1.117102,-0.196860,0.501485,-1.438487,-1.177343,-1.145399,0.558887,0.911951,-0.966762,-0.075853,0.119028,-0.515835,-1.240962,-0.207699,-0.921490,0.112718,0.123133,-0.595330,-0.500834,-0.569113,-0.114084,1.574441,1.670849,1.218066,-0.041039,1.451490,0.381042
Sava,0.365760,-0.674363,0.614131,-0.583310,0.536187,0.340316,1.104904,0.797709,-0.442619,-0.432251,0.629861,-0.631270,0.354618,0.171974,-1.663797,-1.240029,-1.301329,-0.800487,1.630282,0.622274,-0.192072,-0.490986,0.565241,-0.684935,-0.471380,-0.333515,-1.052799,-0.056290,-1.166379,-0.600322,-0.563910,0.022580,0.432878,1.784162,1.729976,0.679374,0.422129,-0.092152,0.443938,-0.913926,0.314750,-0.152997,0.867240,0.035442,1.352707,0.338475,-0.233898,0.099923,0.818493,-0.934574,-0.086238,-0.189086,-2.011662,-1.044091,-1.184332,0.383882,1.169844,0.630904,-0.335420,0.042596,-0.262297,-0.840385,-0.693642,-0.084771,-0.611124,0.544240,-1.110571,-0.725341,-0.391640,-0.213125,1.179943,1.715608,1.827449,0.072004,0.625864,0.437262,0.892692,0.047798,0.350661,-0.648535,0.855339,-0.133501,-0.339761,0.959779,-0.581361,-0.615518,0.801937,-0.244039,1.306692,0.278638,-1.156042,-1.610522,-0.910991,-1.269169,1.599085,0.582741,0.377675,-0.283251,1.122257,-0.369904,-0.893816,-0.185470,-1.189147,-0.476413,-0.442406,0.093663,-0.052452,0.560032,-1.434910,1.011965,1.298962,0.687944,-0.416979,-0.799725,0.290239,-1.289609,0.551072,-0.225200,0.431690,0.480688,1.693138,0.612650,0.332981,0.150511,0.164707,-1.174232,-0.192299,-0.029066,-1.769181,-0.293986,-1.164399,0.815856,0.759847,-0.516858,-0.186377,-0.121280,-0.271449,-1.014584,-0.573486,-0.532840,-0.454323,0.143296,-1.499946,-0.536581,-0.400828,-0.358262,1.786258,1.522900,1.311277,0.386419,1.069521,0.174750
Amoron'i mania,1.185858,-0.428579,0.343379,-1.195958,0.409902,0.102282,-1.249434,-0.894045,0.322820,0.637018,-0.135791,-0.050944,-0.013001,0.341829,0.176227,-0.746652,1.204852,0.259781,1.059365,0.150688,-0.520723,-0.518979,1.729137,-0.403303,0.350995,-0.737570,1.217245,0.531737,-1.096833,-0.459194,0.838153,-0.599683,-2.198928,-0.195091,0.246330,-0.750252,-0.750238,-0.516430,0.921554,-1.116924,-0.585585,-0.776945,0.609749,-0.591434,-0.421977,-0.287686,0.274874,0.768996,0.561528,-0.297626,0.017227,0.503730,-0.746119,-0.803355,0.358331,-0.267826,1.136861,0.147282,-1.752334,-1.517314,1.655716,-0.458372,0.401695,-0.307215,1.444136,1.103402,-1.125904,-0.375699,1.118360,-0.370642,-1.475651,-0.681512,0.658723,-0.686050,0.107517,0.362165,0.891281,-0.104068,1.061996,-0.565215,0.370762,0.560395,-1.948342,-0.597697,0.181617,0.456561,0.357821,-0.266970,0.270871,0.969655,0.890979,-0.581884,1.577849,0.074391,0.115937,-0.714551,0.391373,-0.716267,1.913405,0.078432,-0.358198,-1.079283,-0.511569,-0.366176,-0.562961,0.502287,0.994622,-0.950081,-2.202717,-0.377388,-0.257656,-0.073258,-0.874609,-1.079899,1.288795,0.006467,-0.994524,-0.871976,0.466542,-1.201100,0.827536,-1.406929,0.473818,0.751359,0.570193,-0.676500,-0.210788,1.016765,-1.472383,-0.938971,-0.585449,0.247449,0.390412,0.460384,-1.595799,-0.676699,0.265151,-0.726542,0.095168,-0.069052,1.768750,0.734299,-0.751005,-1.607050,0.692523,0.256145,-0.338749,-0.386220,0.514484,-0.968585,0.788583,0.051630
Atsimo-Atsinana,-0.277219,-0.226061,0.266423,-1.482757,0.746571,0.657144,-1.657983,-1.560896,0.007297,0.079781,-1.095852,0.228933,-0.223800,1.317449,0.574426,-0.253367,-0.514985,0.455756,0.738903,0.280891,0.658420,-0.941661,1.839753,-0.343753,0.461747,-0.104626,2.009763,0.333382,0.079180,0.286040,0.231501,-1.068962,-0.810109,0.295787,1.037418,-1.201520,-1.500993,-0.082925,-0.147421,-0.427953,-0.708648,-1.269647,0.977654,0.123050,-1.677782,-1.370107,0.112823,0.182718,-0.861258,0.075987,-0.380046,1.148632,0.148901,-0.556276,-0.423655,-0.195079,0.803385,0.508850,0.756854,-1.388237,1.802797,0.315633,0.652496,0.702868,1.863165,0.583146,-0.111077,-0.147232,0.120524,-1.285757,-0.246248,0.373447,1.261189,-0.936317,-0.937979,0.653846,-0.408269,-0.135723,0.583731,-1.162306,0.961871,1.059263,-1.684238,-1.179195,0.002189,0.553319,-0.502781,-0.327422,0.129223,1.869516,1.077799,0.490506,-0.433387,0.563704,0.165034,-0.282465,0.632835,-0.961938,1.709526,-0.147266,-0.545107,-1.014207,1.289307,-0.467701,0.611114,1.096880,0.876296,-1.204300,-1.300384,0.247409,0.444083,-1.300171,-1.494102,-0.366574,0.175890,0.169709,-0.713029,-1.207608,1.059007,-0.416847,-1.289654,-2.028941,0.068165,0.081107,-1.039718,-0.114171,-0.910205,1.440455,0.071343,-0.841515,-0.150113,0.083119,0.582528,0.604547,0.612848,-1.106884,1.365053,0.302700,0.391710,1.060585,1.942975,0.029733,0.083373,-1.111953,-0.894728,-0.880992,0.610790,0.559743,0.620998,-0.837014,-0.395403,0.555630
Haute matsiatra,0.772339,0.081402,0.868506,-1.180922,0.461796,0.471747,-1.565191,-1.594797,0.063467,0.532611,-0.784963,-0.010973,0.276152,0.663665,0.862180,-0.063562,0.965830,0.255752,0.629185,0.089386,-0.384388,-0.914790,1.946246,-0.051102,0.442352,-1.076048,1.292771,0.319152,-0.825232,0.106108,0.669975,-0.698041,-1.439653,-0.674468,0.333556,-1.446127,-0.602661,-0.928012,0.457484,-0.624964,-0.159840,-0.760505,0.841800,-0.490472,-1.203433,-1.049169,0.176705,0.788226,-0.134845,-0.291309,0.011004,0.779490,0.162154,-0.480734,0.426712,-0.357671,0.808788,0.000923,-1.419199,-1.845692,1.904902,0.071554,0.520220,-0.486183,1.540898,1.040413,-1.012945,0.213782,0.998533,-0.800235,-1.086469,-0.854902,0.706062,-1.232901,0.287732,0.087946,0.537520,0.363994,1.344066,-0.619949,0.536779,0.937814,-1.739534,-1.422489,0.149274,0.430300,-0.107334,-0.499384,0.599103,1.142383,1.316277,0.120057,1.113432,0.362112,-0.156956,-0.666743,0.289091,-1.155216,1.936344,0.343827,-0.294754,-1.590844,-0.108849,-0.487379,-0.376608,0.896479,0.905908,-0.951111,-1.503341,-0.782456,-0.012045,-0.887025,-0.720472,-1.175956,0.907686,0.473198,-0.706237,-0.907532,0.750514,-1.261449,0.020205,-1.935390,0.072374,0.787238,-0.124313,-0.515801,-0.111051,1.304554,-0.512756,-0.786065,-0.093115,0.089774,0.079561,0.308418,-1.573918,-1.158415,1.018269,-0.279141,-0.009901,-0.110346,1.834833,0.508924,-0.518924,-1.581398,0.660548,0.188611,-0.028066,-0.636910,0.375697,-1.311819,0.832222,-0.055532
Ihorombe,-0.282329,-0.065758,1.081321,-1.335623,0.818676,1.062628,-1.481618,-1.528882,0.313929,0.260410,-0.775944,0.019354,0.315907,0.528190,1.348186,0.349370,0.743149,0.300951,0.387005,-0.044363,0.387100,-0.912954,1.814322,-0.082473,0.398214,-1.252792,1.425990,0.200574,-0.286954,0.470567,0.434306,-0.803864,-0.942695,-0.718559,0.486919,-1.439442,-1.122212,-0.952728,-0.401557,-0.753137,0.258726,-1.114885,1.038717,-0.099303,-1.441496,-1.326214,0.388982,0.661489,-0.157030,-0.174598,-0.004675,0.665581,0.935315,-0.182511,0.253263,-0.664936,0.456186,-0.309295,-0.081804,-1.770370,1.906412,0.020285,0.572237,-0.718146,1.589769,0.918273,-0.751875,0.640333,0.942331,-0.827112,-0.567723,-0.795612,0.877599,-1.212852,-0.065655,-0.028181,-0.426932,0.146791,1.394937,-0.978388,0.821119,1.416864,-1.505957,-1.265264,0.352387,0.350868,-0.070025,-0.492177,0.554550,1.080053,1.571437,0.743842,0.619317,0.485443,-0.021125,-0.530411,0.816942,-0.993796,1.653383,0.140698,-0.258895,-1.597882,0.696914,-0.364870,0.145722,1.076517,0.613153,-1.185243,-1.110883,-0.796908,0.255295,-1.165488,-1.232205,-1.149128,0.138584,0.495228,-0.472712,-1.065960,1.198421,-0.879558,-0.514302,-2.139774,-0.114251,0.843286,0.100714,-0.206541,-0.416425,1.363349,0.338250,-0.966927,0.200786,-0.111080,-0.290247,0.173737,-1.201877,-1.448210,1.200408,-0.250364,0.047220,-0.273359,1.495655,0.120172,-0.233676,-1.498644,0.350602,0.352140,0.492468,-0.204999,0.214694,-1.296493,0.590941,-0.057497
